,Fare_Amt,tripDurationHours,tipPC,depart_income,arriv_income,Trip_Distance,Payment_Type
3477,10.9,0.3,0.0,121.765217175,215.183243508,2.41,CASH
3478,5.7,0.116666666667,0.0,120.643519106,147.284296274,0.94,CASH
3479,11.7,0.183333333333,0.0,119.356719782,48.0248503838,3.99,CASH
3480,6.5,0.15,0.153846153846,53.4850998464,136.763860839,0.93,Credit
3481,7.3,0.166666666667,0.0,147.284296274,111.452010793,1.87,CASH
3482,17.7,0.416666666667,0.0,94.386319293,18.731099623,5.71,CASH
3483,6.9,0.15,0.0,119.356719782,101.184332311,1.29,CASH
3484,8.1,0.155277777778,0.0,139.074511059,42.750828305,1.9,Cash
3485,3.3,0.0166666666667,0.0,120.643519106,147.284296274,0.52,CASH
3486,6.1,0.116666666667,0.0,252.197724718,120.643519106,1.3,CASH
3487,12.5,0.283333333333,0.16,94.386319293,178.157744482,3.77,Credit
3488,6.1,0.133333333333,0.0,252.197724718,147.284296274,1.18,CASH
3489,7.7,0.116666666667,0.519480519481,158.973138597,302.957837437,2.58,Credit
3490,9.7,0.233333333333,0.0,21.3128239511,143.303540904,2.27,CASH
3491,20.9,0.584166666667,0.14976076555,121.765217175,36.4885473838,5.0,Credit
3492,10.2,0.205555555556,0.0,111.452010793,302.957837437,2.8,Cash
3493,9.4,0.207222222222,0.0,147.284296274,121.765217175,2.2,Cash
3494,10.9,0.266944444444,0.0,302.957837437,238.665860215,2.9,Cash
3495,5.7,0.117222222222,0.0,147.284296274,120.643519106,0.9,Cash
3496,6.1,0.138333333333,0.0,94.386319293,238.665860215,0.8,Cash
3497,10.1,0.241666666667,0.2,238.665860215,115.621026064,2.4,Credit
3498,4.9,0.135833333333,0.0,121.765217175,139.074511059,0.7,Cash
3499,21.4,0.418333333333,0.0,94.386319293,48.0248503838,7.4,Cash
3500,21.4,0.418333333333,0.0,,48.0248503838,7.4,Cash
3501,7.9,0.148333333333,0.0,120.643519106,170.550403502,1.3,Cash
3502,6.1,0.109444444444,0.0,157.477740509,205.936708269,1.5,Cash
3503,17.8,0.358611111111,0.0,121.765217175,20.1271082865,6.3,Cash
3504,6.9,0.138055555556,0.0,302.957837437,252.197724718,1.3,Cash
3505,45.0,0.0252777777778,0.444444444444,27.7688679245,27.7688679245,0.0,Credit
3506,10.1,0.300555555556,0.0,94.386319293,115.621026064,1.4,Cash
3507,13.3,0.385833333333,0.0,101.184332311,170.550403502,3.6,Credit
3508,6.5,0.140277777778,0.107692307692,119.356719782,94.386319293,1.4,Credit
3509,16.2,0.296944444444,0.0,111.452010793,48.0248503838,5.4,Cash
3510,9.8,0.194722222222,0.15,158.973138597,139.074511059,2.5,Credit
3511,7.3,0.0997222222222,0.0,158.973138597,178.157744482,2.4,Cash
3512,8.3,0.169444444444,0.0,158.973138597,94.386319293,1.4,Cash
3513,8.3,0.169444444444,0.0,,94.386319293,1.4,Cash
3514,5.7,0.12,0.0,111.452010793,158.973138597,1.3,CASH
3515,22.1,0.412777777778,0.0,42.750828305,45.8744721551,8.6,CASH
3516,13.7,0.3975,0.21897810219,119.356719782,208.774085523,4.1,CREDIT
3517,10.5,0.238333333333,0.0,115.621026064,21.3128239511,3.0,CASH
3518,6.9,0.228333333333,0.289855072464,147.284296274,147.284296274,0.8,CREDIT
3519,7.7,0.216666666667,0.0,101.184332311,119.356719782,0.78,CASH
3520,8.1,0.15,0.123456790123,121.765217175,252.197724718,2.18,Credit
3521,19.3,0.383333333333,0.0,120.643519106,20.1271082865,7.04,CASH
3522,7.3,0.134722222222,0.0,430.402252069,215.183243508,1.8,Cash
3523,9.3,0.183333333333,0.161290322581,158.973138597,139.074511059,2.93,Credit
